gene_id	MDAMB157_DMSO-1	MDAMB157_DMSO-2	MDAMB157_DMSO-3	MDAMB157_DMSO-4	MDAMB157_DMSO-5	MDAMB157_GL24-1	MDAMB157_GL24-2	MDAMB157_GL24-3	MDAMB157_GL24-4	MDAMB157_GL24-5	MDAMB231_DMSO-1	MDAMB231_DMSO-2	MDAMB231_DMSO-3	MDAMB231_DMSO-4	MDAMB231_DMSO-5	MDAMB231_GL24-1	MDAMB231_GL24-2	MDAMB231_GL24-3	MDAMB231_GL24-4	MDAMB231_GL24-5
ENSG00000000003	141	61	66	32	19	109	62	53	13	18	453	343	324	409	305	364	376	479	354	385
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	1328	1270	1663	1560	1441	1560	1665	1935	2233	2598	765	819	675	775	658	751	642	655	683	541
ENSG00000000457	119	94	160	103	142	45	62	54	68	81	110	134	85	132	113	103	81	93	66	64
ENSG00000000460	146	176	203	199	151	62	73	68	87	70	412	340	349	364	391	61	47	52	49	43
ENSG00000000938	8	0	2	4	0	0	5	0	4	1	0	0	0	0	0	1	0	0	0	0
ENSG00000000971	137	131	155	91	149	8	25	13	15	26	36	36	31	41	13	14	9	14	18	12
ENSG00000001036	1140	1114	1679	1443	1480	763	799	750	1057	1136	2203	2088	1809	1878	2075	1059	1066	1296	1006	1207
ENSG00000001084	315	348	407	414	362	762	724	601	856	868	473	475	353	440	415	902	1147	1046	978	1028
ENSG00000001167	879	872	1231	1129	1045	601	964	900	1036	958	852	915	740	852	825	849	867	914	835	895
ENSG00000001460	68	75	96	83	59	136	130	118	105	146	274	233	274	230	277	321	316	336	303	347
ENSG00000001461	329	316	423	446	449	181	206	189	182	256	1086	1219	1214	1163	1452	677	584	662	680	725
ENSG00000001497	1645	1583	1891	1618	1656	1465	1892	1761	1925	1929	1127	1283	1036	1069	1186	1000	889	974	789	939
ENSG00000001561	172	127	145	71	93	104	124	76	95	106	114	88	73	56	75	154	179	102	106	153
ENSG00000001617	651	573	728	696	556	688	606	584	739	681	135	111	188	149	170	293	253	206	180	299
ENSG00000001626	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	1212	1053	1363	1233	1181	958	748	786	965	1101	1080	1190	993	911	1169	691	729	720	650	700
ENSG00000001630	1241	1038	1466	1352	1193	1230	1158	986	1117	1147	2363	1847	1059	1540	1356	719	719	550	561	791
ENSG00000001631	460	472	593	600	543	281	338	415	497	590	501	328	321	332	338	284	273	242	252	178
ENSG00000002016	54	44	79	59	41	161	202	136	123	123	71	91	88	97	68	211	136	230	156	216
ENSG00000002079	0	0	0	0	0	0	1	0	0	0	10	11	15	24	17	5	3	6	3	9
ENSG00000002330	459	445	561	529	403	417	680	605	614	690	848	938	792	1015	868	690	680	817	617	591
ENSG00000002549	768	913	1297	1260	1061	788	786	766	829	910	858	1027	921	851	949	1015	1110	1192	1082	1075
ENSG00000002586	2509	1928	2440	1876	1680	1588	1689	1393	1431	1320	1626	1552	1151	1478	1447	954	937	1002	817	1111
ENSG00000002587	0	0	0	0	0	0	0	1	0	1	121	104	121	97	144	62	55	69	31	51
ENSG00000002726	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0
ENSG00000002745	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0
ENSG00000002746	26	40	76	84	75	27	31	49	62	89	8	17	13	19	16	6	12	11	16	9
ENSG00000002822	575	581	719	650	657	746	1082	1113	1279	1152	950	811	766	838	865	1212	1080	1132	957	1088
ENSG00000002834	5010	4635	5835	5419	4474	2639	3655	2760	2998	2964	7202	7887	7265	8051	7748	2826	2770	3379	2839	3386
ENSG00000002919	158	171	227	142	156	168	269	272	316	287	306	279	244	294	316	291	353	287	236	342
ENSG00000002933	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	651	631	812	744	705	1060	1141	1049	1035	1252	1177	1300	997	988	1189	1123	1018	1237	1007	1051
ENSG00000003096	0	0	0	1	0	1	0	4	2	0	0	2	0	0	2	0	0	0	0	0
ENSG00000003137	26	19	31	17	26	2	10	5	12	9	183	168	130	125	146	48	49	63	38	82
ENSG00000003147	12	10	28	26	23	19	14	46	50	72	28	42	39	36	46	33	39	45	28	35
ENSG00000003249	60	79	86	96	81	65	69	59	79	46	94	103	77	98	123	105	120	146	118	169
ENSG00000003393	453	425	657	570	625	333	385	393	490	483	406	432	373	368	407	433	375	351	275	305
ENSG00000003400	30	21	22	13	11	6	5	4	3	4	48	37	32	41	49	17	26	26	12	21
ENSG00000003402	534	583	798	783	727	215	302	376	447	472	497	528	417	524	496	328	372	308	265	318
ENSG00000003436	971	721	763	599	613	533	563	399	460	459	1464	1550	1094	1171	1420	766	617	646	727	701
ENSG00000003509	197	142	190	142	185	203	172	200	214	223	169	126	149	115	109	114	117	100	87	60
ENSG00000003756	1331	1228	1707	1351	1482	1029	1418	1192	1475	1727	1063	1125	984	1092	847	1415	1383	1369	1053	1125
ENSG00000003987	22	25	15	12	32	12	5	10	12	6	21	19	7	13	24	3	3	5	4	7
ENSG00000003989	128	88	159	141	148	233	168	142	147	152	511	638	509	398	737	513	438	458	478	468
ENSG00000004059	2132	2010	2393	2184	1935	1975	2471	2337	2603	2576	995	960	832	994	794	1182	1269	1385	1146	1335
ENSG00000004139	512	567	768	621	573	279	383	281	278	264	14	33	9	20	12	25	58	46	27	28
ENSG00000004142	1431	1227	1601	1430	1264	1286	1551	1386	1402	1504	1619	1995	1979	1977	1992	1311	1413	1638	1481	1663
ENSG00000004399	3662	2918	3121	2611	2527	1890	1900	1672	1883	1663	747	710	650	792	878	614	606	603	530	672
ENSG00000004455	1366	1362	1791	1518	1275	1440	1664	1796	2003	1862	1680	1905	1635	1807	1602	1424	1566	1763	1316	1389
ENSG00000004468	10	2	6	10	1	7	2	1	0	0	3	15	3	0	4	0	0	0	1	0
ENSG00000004478	724	790	1109	1108	930	797	1121	1119	1246	1255	1704	1941	1913	2048	2005	2247	2344	2770	2149	2346
ENSG00000004487	1405	1427	1767	1512	1416	1264	1411	1371	1865	1544	1312	1545	1436	1467	1369	1137	1038	1112	1088	1068
ENSG00000004534	1292	1118	1261	994	1143	1430	1616	1250	1328	1572	1000	1003	936	913	874	1445	1464	1347	1249	1227
ENSG00000004660	39	34	79	38	56	58	55	53	49	65	103	76	78	49	108	140	180	122	108	197
ENSG00000004700	333	319	439	422	461	232	412	370	506	535	625	590	578	618	585	308	289	316	314	292
ENSG00000004766	218	222	322	271	234	146	81	190	258	308	320	341	192	260	272	232	250	251	190	189
ENSG00000004776	4	11	13	38	11	3	28	16	11	25	0	2	1	2	0	0	2	1	3	0
ENSG00000004777	456	469	453	404	368	417	1336	1168	1336	589	208	161	209	207	224	26	33	45	24	62
ENSG00000004779	456	431	563	516	459	449	487	476	561	646	455	587	482	510	471	396	364	416	391	419
ENSG00000004799	116	86	124	102	107	153	258	153	226	162	18	12	11	25	38	45	88	84	58	98
ENSG00000004809	1	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004838	41	44	52	66	50	18	29	64	54	53	0	0	5	5	2	9	4	2	1	5
ENSG00000004846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	7	2	2	0	3	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0
ENSG00000004864	697	672	932	733	748	527	496	439	476	433	550	672	483	536	501	370	382	343	319	307
ENSG00000004866	170	196	192	195	210	112	189	207	268	315	401	362	287	352	391	291	292	413	284	298
ENSG00000004897	854	906	1051	939	934	744	957	878	1131	1115	2133	2346	1889	1998	2123	1033	1191	1137	1000	1158
ENSG00000004939	0	3	4	1	0	2	0	0	0	4	0	0	0	0	0	3	2	0	0	2
ENSG00000004948	4	0	0	0	0	0	1	0	4	0	13	11	6	21	7	2	1	4	0	1
ENSG00000004961	755	801	1031	901	876	722	929	947	914	1054	713	664	631	614	649	390	387	444	342	463
ENSG00000004975	1292	1102	1324	1009	1082	1983	2321	1828	2099	1815	1362	1482	1259	1426	1265	2328	2326	2643	2184	2764
ENSG00000005001	0	0	1	0	0	0	0	0	0	0	7	10	15	5	4	48	52	66	40	29
ENSG00000005007	2049	1898	2819	2512	2253	1709	2959	2743	3416	3047	2251	2528	2471	2609	2966	2473	2389	2402	2303	2517
ENSG00000005020	125	144	191	174	218	72	82	141	164	222	504	489	409	426	445	314	260	333	262	298
ENSG00000005022	2542	2206	2806	2431	1817	4179	4499	3957	4030	4073	6114	6422	5701	5668	6217	5005	5094	6597	5455	5555
ENSG00000005059	222	219	293	252	200	158	219	313	336	315	333	365	331	358	303	168	216	171	164	158
ENSG00000005073	19	34	27	51	33	5	8	10	29	36	0	0	0	0	0	0	0	0	1	0
ENSG00000005075	673	599	644	660	526	450	624	564	605	655	628	715	642	732	532	674	600	687	559	635
ENSG00000005100	504	451	640	506	480	997	931	755	678	621	633	805	669	666	770	995	1156	1116	1041	1222
ENSG00000005102	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005108	4	10	13	9	13	0	0	0	1	6	0	1	0	0	0	0	0	1	0	0
ENSG00000005156	348	338	368	439	327	465	582	582	791	704	367	417	371	385	482	520	548	493	382	684
ENSG00000005175	310	323	384	313	328	333	393	370	386	436	482	572	436	405	467	264	249	297	285	263
ENSG00000005187	35	37	47	22	40	81	185	180	279	303	0	11	1	5	4	15	4	12	8	6
ENSG00000005189	136	167	175	160	154	103	190	230	307	275	95	98	83	70	53	24	36	39	44	39
ENSG00000005194	634	528	720	578	569	484	680	628	708	693	587	647	555	589	602	580	584	605	577	609
ENSG00000005206	621	548	919	765	829	392	528	597	809	891	650	612	616	640	622	837	767	593	620	621
ENSG00000005238	214	219	279	278	231	188	264	274	378	295	320	326	284	323	413	338	349	368	327	364
ENSG00000005243	2	6	7	4	8	5	3	23	24	51	16	18	12	24	43	27	29	44	14	19
ENSG00000005249	91	86	174	130	133	25	52	26	69	63	22	31	20	39	22	8	11	8	13	16
ENSG00000005302	531	484	616	550	546	331	372	389	485	485	540	514	409	428	425	396	338	365	257	246
ENSG00000005339	1253	1100	1509	1535	1394	979	1386	1036	1349	1457	711	760	724	929	828	1187	1172	1233	1230	1435
ENSG00000005379	12	11	28	9	35	6	9	11	24	24	102	88	94	109	94	114	88	67	89	77
ENSG00000005381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421	0	3	0	0	0	0	0	0	3	0	0	2	0	0	0	1	1	0	0	0
ENSG00000005436	103	116	151	104	148	118	149	178	186	161	348	365	301	273	336	464	443	486	365	458
ENSG00000005448	218	180	248	232	189	204	324	334	384	497	470	492	380	431	429	377	325	391	369	440
ENSG00000005469	267	188	227	174	151	81	98	100	116	136	104	109	111	113	92	81	57	53	41	66
ENSG00000005471	1	1	5	0	0	2	0	0	1	0	2	0	0	0	3	0	1	4	0	0
ENSG00000005483	664	617	746	652	709	563	741	595	745	687	506	549	426	415	479	618	656	592	487	641
ENSG00000005486	1193	1170	1554	1295	1139	1211	1623	1687	1972	1814	609	579	490	591	637	570	568	683	532	693
ENSG00000005513	47	41	48	57	65	138	143	119	120	111	0	1	0	0	0	0	0	0	0	0
ENSG00000005700	993	984	1304	1257	1148	1630	1565	1531	1892	2113	952	1009	818	804	984	1115	1279	1374	1191	1441
ENSG00000005801	127	138	153	124	153	122	117	93	104	95	263	232	194	215	172	199	166	179	142	143
ENSG00000005810	295	239	282	255	231	239	268	242	303	286	541	606	596	530	700	448	655	614	539	540
ENSG00000005812	238	253	352	257	244	178	255	230	263	206	541	657	528	493	534	389	408	419	352	422
ENSG00000005844	2	9	9	0	1	0	0	2	3	0	0	0	0	0	1	1	0	0	1	0
ENSG00000005882	471	353	421	349	321	245	306	347	325	305	325	347	305	348	273	186	153	249	252	227
ENSG00000005884	6792	6571	8101	7167	7635	6800	7134	4873	5200	4670	23117	23278	22865	22455	26856	33141	32741	28612	26801	34700
ENSG00000005889	889	835	1115	952	949	659	778	603	667	763	357	389	352	338	426	327	411	325	307	393
ENSG00000005893	4484	4744	6832	6137	6441	4890	5099	5021	6311	6327	4060	3761	2929	3047	3353	3108	3300	3090	2678	3624
ENSG00000005961	16	16	33	45	37	13	15	11	31	21	14	5	1	3	6	6	11	14	6	9
ENSG00000005981	0	1	0	1	0	0	0	0	0	6	5	5	1	0	1	2	0	1	2	3
ENSG00000006007	417	427	593	592	498	490	651	623	855	829	981	1070	848	906	1038	789	779	749	734	811
ENSG00000006015	292	391	505	572	502	141	254	352	426	582	304	339	316	363	355	206	228	167	199	192
ENSG00000006016	1245	1573	2431	2360	2486	537	1001	1083	1436	1373	25	19	16	17	29	16	24	14	17	10
ENSG00000006025	219	197	282	222	231	217	396	332	371	460	182	203	127	155	138	260	205	198	198	189
ENSG00000006042	2	2	0	0	0	0	0	0	0	0	5	2	12	1	2	1	0	2	0	2
ENSG00000006047	61	75	114	116	71	72	177	302	394	186	0	1	0	0	1	0	1	3	1	3
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
